Product_ID,Product_Name,Product_Group,Primary_Category,Street_Address,Locality,Region,Mailing_Address,Postal_Code,Website,Facebook,Twitter,Latitude,Longitude,
4540704,Kettle River RV Park,Accommodation,Accom - Campground/RV Parks;Accom -Campground / RV Parks,3255 Hwy 3,Rock Creek,Thompson Okanagan,3255 Highway 3,V0H1Y0,http://www.kettleriverrv.com/,,,49.03617,-119.4298,
4541897,Rondalyn Resort,Accommodation,Accom - Cabin/Cottage;Accom - Campground/RV Parks,1350 Timberlands Rd,Ladysmith,Vancouver Island,1350 Timberlands Rd,V9G1L5,https://www.parkbridge.com/en/resort/resort-detail/rondalyn?/en-ca/rv-cottages/Rondalyn-Resort&utm_medium=organic&utm_source=google&utm_campaign=gmb#,https://www.facebook.com/ParkbridgeResorts,,49.03968,-123.9025,
4562519,Crazy Creek Resort,Accommodation,Accom - Management Company;Accom - Cabin/Cottage;Accom - Campground/RV Parks;A&A - Activities;A&A - Attractions,6162 Hwy 1,Malakwa,Thompson Okanagan,1-6162 Trans Canada Hwy,V0E2J0,http://www.crazycreekresort.com,http://www.facebook.com/pages/Crazy-Creek-Resort/159078554123659,,50.99842,-118.6488,
4552974,Crooked Lake Resort,Accommodation,Accom - Cabin/Cottage;Accom - Campground/RV Parks;A&A - Activities,2225 6700 Forest Service Rd,Horsefly,Cariboo Chilcotin Coast,2225 6700 Rd,V0L1L0,http://www.crookedlakeresorthorseflybc.com/,https://www.facebook.com/crookedlakeresorthorseflybc/?fref=nf,,52.27558,-120.7253,
4541717,Crooked River Provincial Park,Accommodation,Accom - Parks - National,Hwy 97,Prince George,Northern British Columbia,John Hart Highway 97,V2L4R8,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/crooked_rv/,https://www.facebook.com/pages/Northern-BC-Provincial-Parks/151571001576706,http://twitter.com/Northquartz,54.49805,-122.6862,
4541710,Horsefly Lake Provincial Park,Accommodation,Accom - Parks - National;A&A - Activities,Hwy 97,Horsefly,Cariboo Chilcotin Coast,Big Lake Ranch,V0L1L0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/horsefly_lk/,https://www.facebook.com/YourBCParks,,52.39088,-121.2867,
900053802,Horsefly Landing Resort,Accommodation,Accom - Cabin/Cottage,6415 Horsefly Landing Rd,Horsefly,Cariboo Chilcotin Coast,6415 Horsefly Landing Rd,V0L1L0,http://www.horseflylandingresort.com/,,,52.37245,-121.3087,
4541079,Clearwater Lake Lodge & Resort,Accommodation,Accom - Resort,19579 Chilcotin Highway 20,Kleena Kleene,Cariboo Chilcotin Coast,19579 Chilcotin Highway 20,V0L1M0,http://clearwaterlakelodge.com/,,,52.00757,-125.0014,
4555647,Sasquatch Provincial Park,Accommodation,Accom - Parks - National;A&A - Activities,Hwy 7,Harrison Hot Springs,Vancouver Coast & Mountains,Rockwell Drive,V0M1K0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/sasquatch/,https://www.facebook.com/seatoskyparks,http://twitter.com/SeatoSkyParks,49.3068,-121.7725,
4541677,Silver Beach Provincial Park,Accommodation,Accom - Parks - National;Accom - Parks - Provincial;A&A - Activities,"Seymour Arm of Shuswap LakeAbbot Road, Daniels Road",Seymour Arm,Thompson Okanagan,"Seymour Arm of Shuswap Lake Abbot Road, Daniels Road",V0E1A0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/silver_bch/,https://www.facebook.com/YourBCParks,,49.30985,-123.0235,
